Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  143 0                  0          0          com.apple.kpi.bsd (21.6.0) 06A10466-36D7-3A0B-9EE7-A9053A8991A3 <>
    2   11 0                  0          0          com.apple.kpi.dsep (21.6.0) 06A10466-36D7-3A0B-9EE7-A9053A8991A3 <>
    3  187 0                  0          0          com.apple.kpi.iokit (21.6.0) 06A10466-36D7-3A0B-9EE7-A9053A8991A3 <>
    4    0 0                  0          0          com.apple.kpi.kasan (21.6.0) 06A10466-36D7-3A0B-9EE7-A9053A8991A3 <>
    5    0 0                  0          0          com.apple.kpi.kcov (21.6.0) 06A10466-36D7-3A0B-9EE7-A9053A8991A3 <>
    6  190 0                  0          0          com.apple.kpi.libkern (21.6.0) 06A10466-36D7-3A0B-9EE7-A9053A8991A3 <>
    7  170 0                  0          0          com.apple.kpi.mach (21.6.0) 06A10466-36D7-3A0B-9EE7-A9053A8991A3 <>
    8  114 0                  0          0          com.apple.kpi.private (21.6.0) 06A10466-36D7-3A0B-9EE7-A9053A8991A3 <>
    9  117 0                  0          0          com.apple.kpi.unsupported (21.6.0) 06A10466-36D7-3A0B-9EE7-A9053A8991A3 <>
   10   13 0xffffff80036bf000 0x81000    0x81000    com.apple.kec.corecrypto (12.0) 250FB6C8-3746-3CA0-B151-52080EFB6D20 <9 8 7 6 3 1>
   11    0 0xffffff80017d4000 0x3000     0x3000     com.apple.kec.AppleEncryptedArchive (1) C1995193-24C6-3D3B-A8F2-CCF73706DC00 <10 8 7 6>
   12    2 0xffffff8003468000 0xe000     0xe000     com.apple.kec.Libm (1) D8A36360-5C60-35FF-81EE-B08C28AACA5D <6>
   13    0 0xffffff8003763000 0x7000     0x7000     com.apple.kec.pthread (1) A491AFFD-2BEC-391C-B8F5-3C61B9BF3CBB <9 8 7 6 3 1>
   14    1 0xffffff8003777000 0x3000     0x3000     com.apple.driver.watchdog (1) 72F13DD7-D531-351F-8628-18318F125B22 <9 8 7 6 3 1>
   15   38 0xffffff800298c000 0x2000     0x2000     com.apple.iokit.IOACPIFamily (1.4) CD3677CB-1370-3425-AB61-064B4F0508E6 <9 8 6 3>
   16   48 0xffffff8002e35000 0x2d000    0x2d000    com.apple.iokit.IOPCIFamily (2.9) 31170FF9-33B7-341F-865B-4E0D7872EF82 <9 8 7 6 3>
   17   14 0xffffff8001a6f000 0x19000    0x19000    com.apple.driver.AppleSMC (3.1.9) EE1310F2-B1FA-3BF6-B86B-65F1EA049CE7 <16 15 14 9 8 7 6 3 1>
   18    2 0xffffff8001369000 0x78000    0x78000    com.apple.driver.AppleACPIPlatform (6.1) 4A0A4F25-EC60-320D-8AC8-E7FB68454928 <17 16 15 9 8 7 6 3 1>
   19    5 0xffffff8002f6e000 0x2000     0x2000     com.apple.driver.IOSlaveProcessor (1) 47867283-342D-3E33-B3A8-2FAD394F0ADF <8 7 6 3>
